date,department,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,productivity_indicator
1/1/2015,1,8,0.8,26.16,7080,98,0.0,0,0,59.0,0.940725424,True,False,False,False,False,False,False,False,True,False,False,0.140725424
1/1/2015,0,1,0.75,3.94,960,0,0.0,0,0,8.0,0.8865,True,False,False,False,False,False,False,False,True,False,False,0.13649999999999995
1/1/2015,1,11,0.8,11.41,3660,50,0.0,0,0,30.5,0.800570492,True,False,False,False,False,False,False,False,True,False,False,0.0005704919999999225
1/1/2015,1,12,0.8,11.41,3660,50,0.0,0,0,30.5,0.800570492,True,False,False,False,False,False,False,False,True,False,False,0.0005704919999999225
1/1/2015,1,6,0.8,25.9,1920,50,0.0,0,0,56.0,0.800381944,True,False,False,False,False,False,False,False,True,False,False,0.0003819439999999119
1/1/2015,1,7,0.8,25.9,6720,38,0.0,0,0,56.0,0.800125,True,False,False,False,False,False,False,False,True,False,False,0.00012499999999993072
1/1/2015,0,2,0.75,3.94,960,0,0.0,0,0,8.0,0.755166667,True,False,False,False,False,False,False,False,True,False,False,0.005166667000000014
1/1/2015,1,3,0.75,28.08,6900,45,0.0,0,0,57.5,0.753683478,True,False,False,False,False,False,False,False,True,False,False,0.003683478000000018
1/1/2015,1,2,0.75,19.87,6000,34,0.0,0,0,55.0,0.753097531,True,False,False,False,False,False,False,False,True,False,False,0.0030975309999999867
1/1/2015,1,1,0.75,28.08,6900,45,0.0,0,0,57.5,0.750427826,True,False,False,False,False,False,False,False,True,False,False,0.00042782600000002
1/1/2015,1,9,0.7,28.08,6900,44,0.0,0,0,57.5,0.721126957,True,False,False,False,False,False,False,False,True,False,False,0.021126957000000002
1/1/2015,1,10,0.75,19.31,6480,45,0.0,0,0,54.0,0.712205247,True,False,False,False,False,False,False,False,True,False,False,-0.037794753000000014
1/1/2015,1,5,0.8,11.41,3660,50,0.0,0,0,30.5,0.707045902,True,False,False,False,False,False,False,False,True,False,False,-0.0929540980000001
1/1/2015,0,10,0.65,3.94,960,0,0.0,0,0,8.0,0.705916667,True,False,False,False,False,False,False,False,True,False,False,0.055916666999999975
1/1/2015,0,8,0.75,2.9,960,0,0.0,0,0,8.0,0.676666667,True,False,False,False,False,False,False,False,True,False,False,-0.073333333
1/1/2015,0,4,0.75,3.94,2160,0,0.0,0,0,18.0,0.593055556,True,False,False,False,False,False,False,False,True,False,False,-0.15694444399999996
1/1/2015,0,7,0.8,2.9,960,0,0.0,0,0,8.0,0.540729167,True,False,False,False,False,False,False,False,True,False,False,-0.2592708330000001
1/1/2015,1,4,0.65,23.69,7200,0,0.0,0,0,60.0,0.52118,True,False,False,False,False,False,False,False,True,False,False,-0.12882000000000005
1/1/2015,0,11,0.7,4.15,1440,0,0.0,0,0,12.0,0.436326389,True,False,False,False,False,False,False,False,True,False,False,-0.263673611
1/3/2015,0,4,0.8,4.15,6600,0,0.0,0,0,20.0,0.988024691,True,False,False,False,False,False,True,False,False,False,False,0.18802469099999997
